Unnamed: 0,Player,Team,League,Position,Matches,Goals,Assists,Shots,Passes_Attempted,Passes_Completed,Minutes,Pass_Accuracy,Goals_Per_90,Goal_Contributions,Performance_Score
0,Mohamed Salah,Liverpool,Premier League,Forward,38,29,18,130,1450,1130,3378,77.93103448275862,0.7726465364120781,47,126.89655172413794
1,Erling Haaland,Manchester City,Premier League,Forward,31,22,3,105,610,480,2773,78.68852459016394,0.714028128380815,25,75.93442622950819
2,Cole Palmer,Chelsea,Premier League,Midfielder,37,15,8,126,1740,1450,3150,83.33333333333334,0.4285714285714286,23,65.16666666666667
3,Bukayo Saka,Arsenal,Premier League,Forward,25,6,10,65,1120,920,2100,82.14285714285714,0.2571428571428571,16,42.107142857142854
4,Alexander Isak,Newcastle United,Premier League,Forward,34,23,6,92,720,580,2750,80.55555555555556,0.7527272727272727,29,85.02777777777777
5,Bruno Fernandes,Manchester United,Premier League,Midfielder,36,8,10,104,2100,1680,3100,80.0,0.23225806451612904,18,48.0
6,Kylian Mbappe,Real Madrid,La Liga,Forward,34,31,3,150,980,790,2900,80.61224489795919,0.9620689655172413,34,103.03061224489795
7,Vinicius Junior,Real Madrid,La Liga,Forward,30,11,8,82,1050,840,2400,80.0,0.4125,19,53.0
8,Jude Bellingham,Real Madrid,La Liga,Midfielder,31,9,8,70,1650,1450,2600,87.87878787878788,0.31153846153846154,17,47.39393939393939
9,Lamine Yamal,Barcelona,La Liga,Forward,35,9,13,90,1600,1300,2850,81.25,0.28421052631578947,22,57.0625
10,Raphinha,Barcelona,La Liga,Forward,36,18,9,112,1450,1160,2900,80.0,0.5586206896551724,27,76.0
11,Robert Lewandowski,Barcelona,La Liga,Forward,34,27,2,108,650,510,2750,78.46153846153847,0.8836363636363637,29,88.92307692307692
12,Harry Kane,Bayern Munich,Bundesliga,Forward,31,26,8,110,1030,850,2700,82.52427184466019,0.8666666666666667,34,98.12621359223301
13,Jamal Musiala,Bayern Munich,Bundesliga,Midfielder,25,12,3,68,1100,910,1900,82.72727272727273,0.5684210526315789,15,46.13636363636364
14,Michael Olise,Bayern Munich,Bundesliga,Forward,34,12,15,91,1540,1270,2750,82.46753246753246,0.39272727272727276,27,70.12337662337663
15,Florian Wirtz,Bayer Leverkusen,Bundesliga,Midfielder,31,10,12,75,1720,1410,2500,81.97674418604652,0.36,22,58.098837209302324
16,Serhou Guirassy,Borussia Dortmund,Bundesliga,Forward,30,21,3,87,620,480,2350,77.41935483870968,0.8042553191489362,24,72.87096774193549
17,Patrik Schick,Bayer Leverkusen,Bundesliga,Forward,31,21,1,73,480,360,1900,75.0,0.9947368421052631,22,68.75
18,Mateo Retegui,Atalanta,Serie A,Forward,36,25,8,102,590,440,2700,74.57627118644068,0.8333333333333333,33,94.72881355932203
19,Marcus Thuram,Inter Milan,Serie A,Forward,36,14,4,81,760,590,2750,77.63157894736842,0.4581818181818182,18,53.881578947368425
20,Lautaro Martinez,Inter Milan,Serie A,Forward,31,12,3,89,690,540,2350,78.26086956521739,0.4595744680851064,15,45.91304347826087
21,Moise Kean,Fiorentina,Serie A,Forward,32,19,3,94,570,420,2500,73.68421052631578,0.684,22,66.6842105263158
22,Ademola Lookman,Atalanta,Serie A,Forward,31,15,5,88,820,640,2300,78.04878048780488,0.5869565217391304,20,58.90243902439025
23,Ousmane Dembele,Paris Saint-Germain,Ligue 1,Forward,29,21,6,100,1250,1010,2200,80.80000000000001,0.8590909090909091,27,79.04
24,Bradley Barcola,Paris Saint-Germain,Ligue 1,Forward,34,14,10,79,1120,900,2450,80.35714285714286,0.5142857142857142,24,66.01785714285714
